case_no,date_opened,subtype,date_closed,assigned_to,site_address,parcel_no,owner,resident,status,violation_description
RENT1803-032,2018-03-14,VIOLATIONS,2018-05-10,MARY EMRICK,ADMIRAL OAKS APARTMENTS,020600006508970,,,CLOSED,MULTIPLE VIOLATIONS - APARTMENTS
RENT1803-039,2018-03-23,VIOLATIONS,2019-03-04,ADAM KNIGHT,613 BYWATER RD**,020628701617042,,,CLOSED,Rental Inspection
RENT1803-038,2018-03-22,VIOLATIONS,2018-04-13,MARY EMRICK,115 MONTICELLO AVE,020600004828603,,,CLOSED,CO DETECTORS/REMOVE EXTRA BEDS
RENT1803-037,2018-03-22,VIOLATIONS,2018-04-24,JEANNETTE ROEDER,1021 CEDAR RIDGE CT**,020610503308400,,,CLOSED,"GFCI OUTLETS, SMOKE DETECTORS"
RENT1803-036,2018-03-20,VIOLATIONS,2018-05-07,MARY EMRICK,BAY RIDGE GARDEN APARTMENTS,020600000153950,,,CLOSED,MULITPLE APT VIOLATIONS
RENT1803-035,2018-03-20,VIOLATIONS,2018-07-23,MARY EMRICK,34 FLEET ST**,020600003399200,,,CLOSED,SMOKE DETECTOR/CO DETECTOR/THUMB TURN LOCKS
RENT1804-017,2018-04-06,VIOLATIONS,2018-06-13,MARY EMRICK,94 DUKE OF GLOUCESTER ST**,020600006178995,,,CLOSED,SMOKE & CO DETECTORS
RENT1803-033,2018-03-14,VIOLATIONS,2018-09-24,ADAM KNIGHT,631 BYWATER RD**,020628708407300,,,CLOSED,Rental Inspection
RENT1804-002,2018-04-03,VIOLATIONS,2019-10-28,ADAM KNIGHT,704 BANNEKER LANE,020652290216854,,,CLOSED,Rental Inspection
RENT1803-031,2018-03-13,VIOLATIONS,2018-04-23,MARY EMRICK,1000 MADISON STREET,020600003864010,,,CLOSED,MULTIPLE VIOLATIONS
RENT1803-030,2018-03-13,VIOLATIONS,2018-08-23,MARY EMRICK,202 CENTER ST,020600090222040,,,CLOSED,TRASH & DEBRIS REAR YARD
RENT1803-029,2018-03-12,VIOLATIONS,2019-02-19,JEANNETTE ROEDER,1154 AUGUST DR,020604090212635,,,CLOSED,MEANS OF EGRESS
RENT1803-028,2018-03-12,VIOLATIONS,2018-03-28,JEANNETTE ROEDER,64 GENTRY CT,020626990009982,,,CLOSED,ELECTRICAL OUTLETS
RENT1803-027,2018-03-12,VIOLATIONS,2018-04-09,ADAM KNIGHT,71-1 JULIANA CIR E,020670290099212,,,CLOSED,Rental Inspection
RENT1803-026,2018-03-12,VIOLATIONS,2018-04-09,ADAM KNIGHT,67 JULIANA CIR E,020670290099208,,,CLOSED,Rental Inspection
RENT1803-034,2018-03-15,VIOLATIONS,2018-04-18,ADAM KNIGHT,2 LOUIS DR,020625708122305,,,CLOSED,Rental Inspection
RENT1804-008,2018-04-05,VIOLATIONS,2018-06-06,MARY EMRICK,6 FORD CIR**,020601007999475,,,CLOSED,FAILURE TO RENEW
RENT1802-037,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,41 HERITAGE CT,020636090028585,,,CLOSED,Rental Inspection
RENT1804-015,2018-04-06,VIOLATIONS,2018-08-13,MARY EMRICK,5 CORNHILL ST**,020600005026005,,,CLOSED,MULTIPLE VIOLATIONS
RENT1804-014,2018-04-06,VIOLATIONS,2018-12-28,MARY EMRICK,25 CORNHILL ST**,020600004827200,,,CLOSED,SMOKE/CO DETECTORS/ EXTERIOR PAINTING
RENT1804-013,2018-04-06,VIOLATIONS,2018-12-28,MARY EMRICK,23 CORNHILL STREET**,020600004827200,,,CLOSED,EXTERIOR PAINTING/PORCH
RENT1804-012,2018-04-06,VIOLATIONS,2018-12-28,MARY EMRICK,21 CORNHILL ST**,020600004827200,,,CLOSED,EXTERIOR PAINTING
RENT1804-011,2018-04-05,VIOLATIONS,2018-04-26,JEANNETTE ROEDER,1109 VAN BUREN DR**,020611200838600,,,CLOSED,GFCI OUTLETS
RENT1803-040,2018-03-27,VIOLATIONS,2018-06-11,MARY EMRICK,19 EAST ST,020600002158800,,,CLOSED,FAILURE TO MEET CITY INSPECTOR FOR ANNUAL INSPECTION
RENT1804-009,2018-04-05,VIOLATIONS,2019-10-09,JEANNETTE ROEDER,20 WINSLOW CT,020666190025547,,,CLOSED,SMOKE DETECTORS
RENT1804-001,2018-04-03,VIOLATIONS,2018-07-25,ADAM KNIGHT,707 GREAT BAY AVE,020602590089852,,,CLOSED,Rental Inspection
RENT1804-007,2018-04-05,VIOLATIONS,2018-04-18,,14 GEORGETOWN COURT**,020621290018134,,,CLOSED,FAILURE TO RENEW RENTAL LICENSE
RENT1804-006,2018-04-05,VIOLATIONS,2018-04-24,MARY EMRICK,1919 VINCENT ST,020655103061000,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1804-005,2018-04-05,VIOLATIONS,2018-05-21,MARY EMRICK,114 CONDUIT ST**,020600005989200,,,CLOSED,NEW SMOKES/CO DETECTORS
RENT1804-004,2018-04-05,VIOLATIONS,2018-05-21,MARY EMRICK,111 CONDUIT ST**,020600008603035,,,CLOSED,BASEMENT CEILING AND FLOORING
RENT1803-023,2018-03-09,VIOLATIONS,2018-07-17,ADAM KNIGHT,65 JULIANA CIR E,020670290099206,,,CLOSED,Rental Inspection
RENT1804-010,2018-04-05,VIOLATIONS,2018-05-31,MARY EMRICK,280-T HILLTOP LN**,020680304343913,,,CLOSED,FAILURE TO MEET INSPECTOR
RENT1802-044,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,133 BRIGHTWATER DR,020602590089987,,,CLOSED,Rental Inspection
RENT1803-025,2018-03-12,VIOLATIONS,2018-04-23,MARY EMRICK,15 MUNROE CT,020600001416850,,,CLOSED,ILLEGAL 2ND KITCHEN AND BEDROOM
RENT1803-005,2018-03-02,VIOLATIONS,2018-04-30,JEANNETTE ROEDER,762-D FAIRVIEW AVEVUE,020680590026928,,,CLOSED,OUTLETS - REVERSE POLARITY
RENT1803-004,2018-03-01,VIOLATIONS,2018-03-09,MARY EMRICK,840 MONROE STREET 101,020600001557519,,,CLOSED,POOR HOUSEKEEPING/SMOKE DETECTOR
